stream,event_ns,arrival_ns,accuracy,v0,v1,v2,v3,v4,v5
magnetic_field_uncalibrated,287043351214023,287043354125674,3,16.567001,-21.109001,-145.770004,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043351214023,287043354363643,3,0.090408,0.012217,0.020159,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043351214023,287043354409033,3,-1.436521,4.762067,8.444349,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043359221328,287043362657666,3,18.385000,-20.099001,-144.059006,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043359221328,287043363161768,3,0.083689,0.017104,0.024435,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043359221328,287043369049190,3,-1.414973,4.769250,8.429984,0.000000,0.000000,0.000000
accelerometer_uncalibrated,287043367228554,287043369332940,3,-1.398214,4.754885,8.410830,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043367228554,287043373034072,3,18.689001,-20.711000,-144.382004,7.644001,24.008001,-125.219009
gyroscope_uncalibrated,287043367228554,287043373126494,3,0.073915,0.018937,0.026267,0.004887,0.003665,0.000000
magnetic_field_uncalibrated,287043375237031,287043385490010,3,18.086000,-22.694000,-145.450012,7.644001,24.007002,-125.220009
magnetic_field_uncalibrated,287043383246015,287043385630322,3,17.837002,-21.427002,-143.510010,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043375237031,287043385666065,3,0.070250,0.026267,0.025656,0.004887,0.003665,0.000000
gyroscope_uncalibrated,287043383246015,287043385684346,3,0.055589,0.032376,0.024435,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043375237031,287043385695283,3,-1.381454,4.754885,8.350976,0.000000,0.000000,0.000000
accelerometer_uncalibrated,287043383246015,287043385704893,3,-1.374272,4.752491,8.350976,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043391253671,287043395957822,3,16.742001,-20.525002,-142.967010,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043391253671,287043396635440,3,0.048869,0.029322,0.027489,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043391253671,287043397446025,3,-1.359907,4.762067,8.403648,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043399262421,287043403045908,3,17.150002,-21.138000,-145.018005,7.644001,24.008001,-125.220009
