Time since start (ms),ACCELEROMETER X (m/s^2),ACCELEROMETER Y (m/s^2),ACCELEROMETER Z (m/s^2),GRAVITY X (m/s^2),GRAVITY Y (m/s^2),GRAVITY Z (m/s^2),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (uT),MAGNETIC FIELD Y (uT),MAGNETIC FIELD Z (uT),ORIENTATION (yaw deg),ORIENTATION (pitch deg),ORIENTATION (roll deg),GPS Latitude (deg),GPS Longitude (deg),GPS Altitude (m),GPS Speed (m/s),GPS Accuracy (m),GPS Orientation (deg),Satellites in range,DATE (YYYY-MO-DD HH-MI-SS_SSS)
104.0,-0.059855,0.280122,9.844957,-0.074482,0.295915,9.801902,-0.068417,-0.145997,0.003054,1.625000,-32.100002,-38.039001,-179.998,-1.729,0.435,,,,,,,,2026-09-13 03:11:48.651
200.1,-0.098162,0.299275,9.718064,-0.067235,0.292522,9.802055,0.007941,0.011606,-0.000611,-0.699000,-30.841002,-34.574001,-179.256,-1.709,0.393,,,,,,,,2026-09-13 03:11:48.747
304.1,-0.083797,0.292093,9.775525,-0.066181,0.292284,9.802070,0.000611,0.000611,0.001833,1.630000,-30.532001,-35.670002,-179.009,-1.708,0.387,,,,,,,,2026-09-13 03:11:48.851
400.1,-0.040701,0.280122,9.756371,-0.065011,0.291753,9.802094,0.000000,-0.003054,0.000000,1.371000,-29.361002,-34.270000,-179.276,-1.705,0.380,,,,,,,,2026-09-13 03:11:48.947
504.2,-0.055067,0.258574,9.825804,-0.063908,0.291256,9.802116,-0.000611,0.001222,0.000611,0.684000,-29.244001,-34.158001,-179.205,-1.702,0.374,,,,,,,,2026-09-13 03:11:49.051
600.2,-0.059855,0.282516,9.792285,-0.063546,0.290884,9.802130,0.003665,0.003054,-0.001222,-0.667000,-30.294001,-35.116001,-179.385,-1.700,0.371,,,,,,,,2026-09-13 03:11:49.147
704.1,-0.062249,0.282516,9.787497,-0.063801,0.291444,9.802111,-0.001222,-0.000611,0.000000,0.596000,-30.275002,-36.852001,-179.575,-1.703,0.373,,,,,,,,2026-09-13 03:11:49.251
800.1,-0.035913,0.272939,9.816227,-0.062996,0.291008,9.802129,-0.001833,-0.003665,0.000611,1.005000,-31.317001,-34.799000,-179.336,-1.700,0.368,,,,,,,,2026-09-13 03:11:49.347
904.2,-0.069432,0.287304,9.792285,-0.062734,0.291000,9.802131,0.001833,0.004276,0.001222,1.198000,-30.200001,-34.373001,-179.288,-1.700,0.367,,,,,,,,2026-09-13 03:11:49.451
1000.2,-0.035913,0.282516,9.777920,-0.062478,0.291445,9.802119,0.003054,0.000611,-0.000611,0.617000,-30.082001,-35.665001,-179.289,-1.703,0.365,,,,,,,,2026-09-13 03:11:49.547
1104.2,-0.057461,0.263362,9.794679,-0.062184,0.291259,9.802127,0.000000,-0.002443,-0.001833,1.183000,-30.386002,-34.696003,-179.287,-1.702,0.363,,,,,,,,2026-09-13 03:11:49.651
1200.2,-0.040701,0.282516,9.782708,-0.061645,0.290887,9.802141,0.001222,0.000000,0.000611,1.216000,-29.924002,-34.374001,-179.289,-1.700,0.360,,,,,,,,2026-09-13 03:11:49.747
1304.2,-0.067038,0.282516,9.792285,-0.061342,0.290699,9.802149,0.001833,0.001833,0.000611,0.285000,-31.662001,-35.009003,-179.291,-1.699,0.359,,,,,,,,2026-09-13 03:11:49.851
