arrival_ns,in_view,used_in_fix,mean_cn0_dbhz,top_cn0_dbhz,gps,glonass,galileo,beidou,qzss,other
287315860798330,1,0,23.00,23.00,0,1,0,0,0,0
287316864158252,1,0,23.00,23.00,0,1,0,0,0,0
287317858441963,1,0,22.90,22.90,0,1,0,0,0,0
287318855440986,1,0,22.80,22.80,0,1,0,0,0,0
287319866129893,1,0,22.70,22.70,0,1,0,0,0,0
287320854961065,1,0,22.60,22.60,0,1,0,0,0,0
287321847102510,1,0,23.00,23.00,0,1,0,0,0,0
287322844947588,1,0,23.00,23.00,0,1,0,0,0,0
287323836078174,1,0,22.90,22.90,0,1,0,0,0,0
287324841877744,1,0,23.00,23.00,0,1,0,0,0,0
287325849107354,1,0,23.00,23.00,0,1,0,0,0,0
287326854053174,1,0,23.00,23.00,0,1,0,0,0,0
287327861522354,1,0,23.00,23.00,0,1,0,0,0,0
287328851559150,1,0,23.00,23.00,0,1,0,0,0,0
287329851258057,1,0,23.00,23.00,0,1,0,0,0,0
287330839412549,1,0,23.00,23.00,0,1,0,0,0,0
287331832108799,1,0,23.00,23.00,0,1,0,0,0,0
287332832789346,1,0,23.00,23.00,0,1,0,0,0,0
287333828069346,1,0,23.00,23.00,0,1,0,0,0,0
287334834043994,1,0,23.00,23.00,0,1,0,0,0,0
287335834312002,1,0,23.00,23.00,0,1,0,0,0,0
287336828672627,1,0,23.00,23.00,0,1,0,0,0,0
287337834653877,1,0,23.00,23.00,0,1,0,0,0,0
287338854756143,1,0,23.00,23.00,0,1,0,0,0,0
287339851926533,1,0,23.00,23.00,0,1,0,0,0,0
287340853588838,1,0,23.00,23.00,0,1,0,0,0,0
287341850770283,1,0,23.00,23.00,0,1,0,0,0,0
287342858711299,1,0,23.00,23.00,0,1,0,0,0,0
287343855979893,1,0,23.00,23.00,0,1,0,0,0,0
287344859745752,1,0,23.00,23.00,0,1,0,0,0,0
287345851383916,1,0,23.00,23.00,0,1,0,0,0,0
287346842790713,1,0,24.00,24.00,0,1,0,0,0,0
287347853073877,1,0,24.00,24.00,0,1,0,0,0,0
287348856969658,1,0,24.00,24.00,0,1,0,0,0,0
287349855127705,1,0,24.00,24.00,0,1,0,0,0,0
287350839965479,1,0,24.00,24.00,0,1,0,0,0,0
287351839458252,1,0,24.00,24.00,0,1,0,0,0,0
287352834648838,1,0,23.90,23.90,0,1,0,0,0,0
287353836346299,1,0,23.80,23.80,0,1,0,0,0,0
287354838262197,1,0,23.70,23.70,0,1,0,0,0,0
287355832319190,1,0,23.60,23.60,0,1,0,0,0,0
287356845891182,1,0,23.50,23.50,0,1,0,0,0,0
287357862185400,1,0,23.40,23.40,0,1,0,0,0,0
287358845795440,2,0,23.15,23.30,0,2,0,0,0,0
287359850377861,2,0,23.10,23.20,0,2,0,0,0,0
287360847030400,2,0,23.00,23.00,0,2,0,0,0,0
287361841577119,2,0,23.00,23.00,0,2,0,0,0,0
287362844218643,2,0,23.00,23.00,0,2,0,0,0,0
287363847231533,2,0,23.00,23.00,0,2,0,0,0,0
287364855453486,2,0,23.00,23.00,0,2,0,0,0,0
287365851142666,2,0,23.00,23.00,0,2,0,0,0,0
287366855027783,2,0,22.95,23.00,0,2,0,0,0,0
287367836282041,2,0,22.90,23.00,0,2,0,0,0,0
287368841162979,2,0,22.85,23.00,0,2,0,0,0,0
287369850969658,2,0,22.80,23.00,0,2,0,0,0,0
287370858206416,2,0,22.75,23.00,0,2,0,0,0,0
287371853347080,2,0,22.70,23.00,0,2,0,0,0,0
287372859638252,2,0,22.65,23.00,0,2,0,0,0,0
287373862055791,2,0,22.65,23.00,0,2,0,0,0,0
287374851794619,2,0,22.55,22.90,0,2,0,0,0,0
287375838176182,2,0,22.50,22.80,0,2,0,0,0,0
287376836824854,2,0,22.45,22.70,0,2,0,0,0,0
287377843426807,2,0,22.35,22.60,0,2,0,0,0,0
287378853054150,2,0,22.30,22.50,0,2,0,0,0,0
287379857774346,2,0,22.25,22.40,0,2,0,0,0,0
287380867490791,2,0,22.20,22.30,0,2,0,0,0,0
287381896461768,2,0,22.15,22.20,0,2,0,0,0,0
287382859682861,2,0,22.05,22.10,0,2,0,0,0,0
287383859094736,2,0,22.00,22.10,0,2,0,0,0,0
287384862078291,2,0,21.85,22.00,0,2,0,0,0,0
287385853684268,2,0,21.80,22.00,0,2,0,0,0,0
287386857477822,2,0,21.75,22.00,0,2,0,0,0,0
287387855437158,2,0,21.70,22.00,0,2,0,0,0,0
287388860728994,2,0,21.70,22.00,0,2,0,0,0,0
287389851196338,2,0,21.65,22.00,0,2,0,0,0,0
287390856784541,2,0,21.65,22.00,0,2,0,0,0,0
287391854801807,2,0,21.60,22.00,0,2,0,0,0,0
287392852728994,2,0,21.55,21.90,0,2,0,0,0,0
287393844286611,2,0,21.50,21.80,0,2,0,0,0,0
287394845052861,2,0,21.40,21.70,0,2,0,0,0,0
287395848115596,2,0,21.35,21.60,0,2,0,0,0,0
287396850647510,2,0,21.30,21.50,0,2,0,0,0,0
287397849895088,2,0,21.25,21.40,0,2,0,0,0,0
287398843193174,2,0,21.20,21.30,0,2,0,0,0,0
287399849694580,2,0,21.20,21.30,0,2,0,0,0,0
287400844750674,2,0,21.15,21.20,0,2,0,0,0,0
287401855806729,2,0,21.10,21.20,0,2,0,0,0,0
287402853715947,2,0,21.10,21.20,0,2,0,0,0,0
287403850776924,2,0,22.00,22.00,0,2,0,0,0,0
287404868340947,2,0,22.00,22.00,0,2,0,0,0,0
287405864759775,1,0,22.00,22.00,0,1,0,0,0,0
287406861671963,2,0,21.25,22.00,0,2,0,0,0,0
287407856360986,2,0,21.20,22.00,0,2,0,0,0,0
287408850590557,2,0,21.15,22.00,0,2,0,0,0,0
287409859139775,2,0,21.45,21.90,0,2,0,0,0,0
287410859295127,2,0,21.50,22.00,0,2,0,0,0,0
287411856833721,2,0,21.45,21.90,0,2,0,0,0,0
287412864001416,2,0,21.40,21.80,0,2,0,0,0,0
287413867976846,2,0,21.35,21.70,0,2,0,0,0,0
287414853180127,2,0,21.30,21.60,0,2,0,0,0,0
287415859137432,2,0,21.25,21.50,0,2,0,0,0,0
287416839402666,2,0,21.70,22.00,0,2,0,0,0,0
287417865160713,2,0,21.65,22.00,0,2,0,0,0,0
287418857002940,2,0,21.65,22.00,0,2,0,0,0,0
287419861555713,1,0,22.00,22.00,0,1,0,0,0,0
287420840866143,1,0,23.00,23.00,0,1,0,0,0,0
287421836311143,2,0,21.00,23.00,0,2,0,0,0,0
287422835739150,2,0,21.00,23.00,0,2,0,0,0,0
287423839694346,2,0,21.00,23.00,0,2,0,0,0,0
287424833872627,2,0,20.95,23.00,0,2,0,0,0,0
287425842062588,2,0,20.90,23.00,0,2,0,0,0,0
287426844380049,2,0,20.85,23.00,0,2,0,0,0,0
287427841819307,2,0,20.80,23.00,0,2,0,0,0,0
287428837127783,2,0,20.75,23.00,0,2,0,0,0,0
287429845280479,2,0,21.20,24.00,0,2,0,0,0,0
287430837247940,2,0,21.15,24.00,0,2,0,0,0,0
287431852860440,2,0,21.15,24.00,0,2,0,0,0,0
287432852509815,2,0,21.10,24.00,0,2,0,0,0,0
287433858378174,2,0,21.10,24.00,0,2,0,0,0,0
287434831828955,2,0,21.10,24.00,0,2,0,0,0,0
287435840195361,2,0,21.05,24.00,0,2,0,0,0,0
287436850438096,2,0,21.05,24.00,0,2,0,0,0,0
287437855384424,2,0,21.05,24.00,0,2,0,0,0,0
287438841611533,2,0,21.05,24.00,0,2,0,0,0,0
287439860531494,2,0,21.05,24.00,0,2,0,0,0,0
287440860722549,2,0,21.05,24.00,0,2,0,0,0,0
287441851125674,2,0,21.00,23.90,0,2,0,0,0,0
287442860347940,2,0,20.90,23.80,0,2,0,0,0,0
287443861880049,2,0,21.00,24.00,0,2,0,0,0,0
287444857567041,2,0,20.95,23.90,0,2,0,0,0,0
287445852023369,2,0,20.80,23.80,0,2,0,0,0,0
287446846150635,1,0,23.70,23.70,0,1,0,0,0,0
287447836875635,1,0,23.60,23.60,0,1,0,0,0,0
287448844261065,1,0,23.50,23.50,0,1,0,0,0,0
287449856797588,1,0,23.40,23.40,0,1,0,0,0,0
287450850037861,1,0,23.30,23.30,0,1,0,0,0,0
287451846601299,1,0,23.30,23.30,0,1,0,0,0,0
287452854552432,1,0,23.20,23.20,0,1,0,0,0,0
287453855820088,1,0,23.20,23.20,0,1,0,0,0,0
287454838795400,1,0,23.20,23.20,0,1,0,0,0,0
287455857131768,1,0,23.10,23.10,0,1,0,0,0,0
287456856580010,1,0,23.10,23.10,0,1,0,0,0,0
287457854692197,1,0,23.10,23.10,0,1,0,0,0,0
287458852907627,1,0,23.00,23.00,0,1,0,0,0,0
287459855270440,1,0,22.90,22.90,0,1,0,0,0,0
287460834555635,1,0,22.70,22.70,0,1,0,0,0,0
287461842987197,1,0,22.60,22.60,0,1,0,0,0,0
287462854520127,1,0,22.50,22.50,0,1,0,0,0,0
